"""""""Weve had bigger storms than this""""",Rescue
"""CCUSA will continue to support all those in harm's way.  Donate to #HurricaneMaria",Rescue
"""Condolences to all affected by #Harvey",Non-Rescue
"""RT @WorkforceSolTX: The deadline to apply for Disaster Unemployment Assistance from #Harvey has been extended to October 31",Non-Rescue
"""#NEW #Dallas plans to help #Houston remove #Harvey debris. If approved by city council",Rescue
"""RT @dzinermom: Does anyone else believe the recent",Non-Rescue
"""RT @SBAsouthcentral: Mobile Disaster Recovery Center is open in Katy",Non-Rescue
"""Texas #senior #dog retirement sanctuary destroyed needs #help! #Harvey #donate here: https://t.co/UslDPMq3Gk https://t.co/EYTePh6tL4""",Rescue
"""Hurricane #Harvey also triggered 7 tornadoes",Non-Rescue
"""RT @BounceSDR: BOUNCE Report from #Harvey Affected Areas. Registration is underway to RestoreHOPE",Non-Rescue
"""#LastDayofSummer and thoughts tonight to #Irma #Harvey #Maria #Mexico ~the lost",Rescue
"""RT @1AmericanPymnt: Our employees donated to a Comfy Clothes campaign for #Harvey relief &amp; raised $20",Rescue
"""#Harvey spilled &gt;31 mill gallons of sewage",Non-Rescue
"""RT @NeighborHOU: Access #Harvey recovery resources in English",Non-Rescue
"""""""It was shocking to see it first-person",Non-Rescue
"""#thankyou #mercedes for the way y'all are helping #harvey #victims if u own a #benz and are https://t.co/GdChjagVP1""",Rescue
"""Heading down to Texas coast w/a group in 2 weeks to help with clean-up. You near enough to join me? DM for deets",Rescue
"""Charles Butt (@HEB) donates $100",Rescue
"""#ThursdayThoughts If we say we want to help",Rescue
"""They will help mitigate the effects of trauma &amp; accelerate recovery for us. I've said",Rescue
"""ONLY ON 2: @kprcbillspencer travels to DC for answers from Red Cross on delayed financial help for #Harvey victims https://t.co/K3uantLMfZ""",Rescue
"""Please #pray for our teams serving in #Texas",Rescue
"""RT @StantecUrban: #Harvey #Irma #MariaHurricane demonstrating importance of decentralized grids",Non-Rescue
"""RT @narleadership: WATCH: @NARleadership urges help for ppl impacted by #Harvey",Rescue
"""RT @AFGENational: Unions respond to Hurricanes #Harvey and #Irma with help",Rescue
"""Thanks to the over 30 #ROC area students who helped support #Harvey relief by hosting a """"Texas Har-V-Q"""" last night!! https://t.co/CN6GcRG0Kr""",Rescue
"""School supplies was donated by 4 AL schools",Rescue
"""RT @WRIClimate: Early estimates suggest damage from Hurricane #Irma",Non-Rescue
"""RT @thepurplepatri1: 2 weeks ago",Rescue
"""Backstage at Farrington Mission during #Harvey distribution to Houston's 5th Ward. Get fired up",Non-Rescue
"""Existing home sales expected to take a short-term hit from hurricanes #Harvey and #Irma",Non-Rescue
"""@POTUS donated $1 million of his personal $$ to #Harvey relief efforts. The Obamas",Rescue
"""J.J. Watt's Hurricane #Harvey relief fund grand total: $37",Rescue
"""RT @txglo: In partnership with @FEMA",Non-Rescue
"""@A_helena @AP Start stroking the checks girl. Americans are equally in need of aid for #Irma",Rescue
"""@fema is putting a freeze on #HurricaneMatthew relief funding. The money will go to immediate needs of #Harvey &amp; https://t.co/ceftpU9kMw""",Rescue
"""RT @FoxNews: PHOTO: @POTUS signs $15 billion #Harvey relief",Rescue
"""RT @SecretarySonny: In many cases in Texas",Non-Rescue
"""#McDonough transpo co. #BennettInternational helps hurricane #Harvey and #Irma victims",Rescue
"""RT @RedCross: For the latest updates on volunteering for our #Harvey response and how to help now",Rescue
"""RT @quorumreport: In his first at-bat back in a QR jersey",Non-Rescue
"""Still delayed. The silver lining? Learning about @GreatDaneRescue Rambo needs a friend. #newfielove #doglife https://t.co/9MDS5v8P6k""",Non-Rescue
"""Many #Reservists are helping #Harvey relief efforts in uniform",Rescue
"""RT @politicalHEDGE: Recall This? 08/28/2017#Harveys toll: 30",Rescue
"""So much debris still in Beacon Groves",Non-Rescue
"""RT @FranzThomas: Condolences to all affected by #Harvey",Non-Rescue
"""RT @MinaANDMaya: #Dog chained up during #Harvey flood",Rescue
"""RT @shane_pruitt78: Through @_SBTC",Rescue
"""Join us in making a tax-deductible donation to the American Red Cross to support hurricane #Harvey &amp; #Irma victims https://t.co/3KYBXa1wJS""",Rescue
"""RT @Andy_C_Phillips: TY! @GraceVanderWaal  for auctioning your ukulele to assist @austinpetsalive  help Hurricane #Harvey pets. Now $11",Rescue
"""RT @fema: If youre looking for info on how to help with #Harvey",Rescue
"""RT @TexasTribune: 1 in 10 Houstonians is an undocumented immigrant. Unlike other #Harvey victims",Rescue
"""@horowitz39 NO hurricane news..why",Non-Rescue
"""If you are looking for ways to help financially after #Harvey and #Irma",Rescue
"""RT @AmeriCorps: Great to see @SecretaryZinke meeting with #Harvey responders",Non-Rescue
"""RT @AmeriCorps: This morning at a Houston shelter for displaced #Harvey survivors",Non-Rescue
"""To help those impacted by Hurricane #Harvey",Rescue
"""RT @MsgrKSullivan: @kimburgo will discuss the impact of #harvey &amp; #Irma and how @CCharitiesUSA has helped. Tune in on #JustLove at 10am",Rescue
"""As we continue to recover from #Harvey",Rescue
"""RT @Habitat_org: Hurricane #Harvey flooded this colorful #Habitat house",Rescue
"""Texas Sea Grant's Rhonda Cummins",Rescue
"""Another resource for those impacted by #Harvey. Also",Non-Rescue
"""RT @ctmarcom: Trifecta! I love sneakers",Rescue
"""Glad to visit @jrbhouston with @SpeakerRyan",Non-Rescue
"""RT @LFFriedman: Pope Francis on climate denial in the wake of #Harvey #Irma: Man is stupid",Rescue
"""RT @Andy_C_Phillips: TY @GraceVanderWaal  for auctioning your ukulele to assist @austinpetsalive  help Hurricane #Harvey pets. Now $15",Rescue
"""@breakingweather As a Houstonian",Non-Rescue
"""RT @NRECANews: After hurricanes",Non-Rescue
"""RT @PascagoulaCity: #Harvey relief supplies on the way from Pascagoula",Rescue
"""Want to work at AT&amp;T? We're #hiring in #Harvey",Non-Rescue
"""#Journalists reporting from #Irma",Non-Rescue
"""Europe is a big diesel importer",Non-Rescue
"""80 task force members return from 24 days helping #Harvey &amp; #Irma victims",Rescue
"""RT @rockykistner1: """"Without #climatechange",Non-Rescue
"""RT @CPPP_TX: Before @Glenn_Hegar &amp; @rossramsey chat @ 145",Non-Rescue
"""26 million people in Mex City! Getting anywhere is a mess especially w what's going on now. Imagine Houston times 4 around #Harvey time! """,Non-Rescue
"""Mr Ryan appreciate the #harvey report",Non-Rescue
"""RT @AntonioArellano: Even before #Harvey",Non-Rescue
"""I was watching #CNN yesterday when this dude said the rain in #PR will not cause damage as #Harvey did in #Houston. https://t.co/AA6usxCUQL""",Rescue
"""RT @kathycordayusa: In my thoughts &amp; prayers...We cannot forget those affected by #hurricanes #Harvey",Non-Rescue
""".@johnculberson has been advocating for more flood control in #Houston long before #Harvey https://t.co/MrS7cNedrQ""",Non-Rescue
"""RT @mcblackston: Hurricanes #Harvey",Non-Rescue
"""Year ago I felt 2017 would be a before-or-after year",Non-Rescue
"""#Trump worked with the #Dems because he was tired of not #winning and #DACA unfair",Rescue
"""via @RiceKinderInst Mapping Tool Helps Neighborhoods Better Understand #Harvey",Rescue
"""RT @CCharities_GHTX: Thanks to your support",Rescue
"""RT @AnnikaHagberg: After #Harvey: """"If forecasts from scientists are anywhere close to right",Non-Rescue
"""To recap: hurricanes #irma #harvey #jose #maria &amp; now #mexicoearthquake all in a month. Sure @realDonaldTrump",Non-Rescue
"""Join the Chili's team! See our latest #job opening here: https://t.co/45XVZtTtAC #Host #RestaurantLife #Harvey",Non-Rescue
"""@ReutersLegal @EPA won't be around long. Here's #HR861 the bill to terminate it",Non-Rescue
"""RT @dianelyssa: Please check out and share the @HarveyRelief website! You can request #HarveyRelief",Rescue
"""$35 million in #Harvey relief not good enough for ya",Rescue
"""Let's get some love for Dr. Ouida Collins. She's is back in #Houston",Rescue
"""RT @palmbeachoutlet: #donateblood for #Harvey and #Irma's victims",Rescue
"""RT @NBCDFW: Final 900 #Harvey evacuees leave Houston Convention Center",Non-Rescue
"""If you want to help public #gardens damaged by #Harvey &amp; #Irma here's information about volunteering or donating https://t.co/QBgSFozdCI""",Rescue
"""RT @CCLsaltlake: After hurricanes",Non-Rescue
"""When actual news becomes intolerable",Non-Rescue
"""This month's @beautycounterhq news: tips for #saferbeauty",Rescue
"""RT @ShernMinKHOU: Saluting @houstonpolice for thousands of #harvey rescues. Dive team also did recoveries",Rescue
"""So the inauguration funds only went to Trump stuff",Rescue
"""RT @PennsylvaniaGov: Welcome home",Rescue
"""RT @kwri: Yesterday @Austin_Police",Rescue
"""RT @SecretarySonny: Discussion w/producers in El Campo",Non-Rescue
"""So tragic. Stay tuned for our #CorollaRolla",Non-Rescue
"""RT @FrontierGroupUS: #Harvey spilled &gt;31 mill gallons of sewage",Non-Rescue
"""Saluting @houstonpolice efforts during #Harvey. Lake Patrol alone rescued estimated 3",Rescue
"""In my thoughts &amp; prayers...We cannot forget those affected by #hurricanes #Harvey",Non-Rescue
"""@dwjameson Thanks for your tweets. Awesome to hear that Nutanix played a role in recovery in the face of #Harvey https://t.co/LIC7ZV5i5o""",Non-Rescue
"""#Harvey #Victims use social #Media thank #GeorgeStrait: https://t.co/p6r3T6hbIU",Non-Rescue
"""MCG will be at #TAHP2017 in Houston",Rescue
"""RT @MarkWigginsTX: .@HoustonISD superintendent begins by addressing #Harvey affects. Facilities will be fixed",Non-Rescue
"""RT @robgalb: Special thanks to all from @TXForestService who responded to #Harvey",Non-Rescue
"""RT @PHEgov: As clean-up begins",Rescue
"""RT @WNCN: .@FEMA freezes Hurricane Matthew funds to help victims of #Harvey",Rescue
"""Our Austin teams relief drive towards Hurricane #Harvey was a success. Thank you",Rescue
"""RT @CaplanComms: In the Wake of #Hurricane #Harvey",Non-Rescue
"""RT @FarmPolicy: @SecretarySonny @NCottonCouncil @ConawayTX11 Hurricane #Harvey's impact on #cotton &amp; #sugarcane",Non-Rescue
"""RT @AbdielBonillaPR: Ayuda para los damnificados por terremotos en Mxico",Non-Rescue
"""@AdamsFlaFan @Draniarb BTW: did he donate the much promised and publicized $1",Rescue
"""As residents return to homes damaged by Hurricanes #Irma and #Harvey",Rescue
"""RT @TexasDSHS: Texas is waiving fees for replacement copies of birth certificates. If from a #Harvey-affected county",Non-Rescue
"""RT @EloPoeta: I'm reading my #Harvey poetry at the #HOUlibrofest next Saturday with @danimalpena",Non-Rescue
"""Historic community ctr. needs help to repair #Harvey damaged bldg and restore valuable piece of art work. https://t.co/E4nOOxtIhz""",Rescue
"""RT @Univision: Ante los efectos de #Harvey",Non-Rescue
"""RT @NationalService: After #Harvey &amp; in the face of #Irma",Rescue
"""RT @CushWakeNYC: Through Team Rubicon",Rescue
"""Brownwood District crews help clear debris on SH 188 near Rockport",Rescue
"""Beyond the physical damages wrought by hurricanes like #Harvey and #Irma",Non-Rescue
"""RT @SCOREMentors: For details about @sbagov recovery centers helping businesses affected by #Harvey and #Irma",Rescue
"""RT @RANDHealth: Understanding a disaster's toll on health &amp; health care: Past lessons could help those affected by #Harvey",Rescue
"""@bondgeekette I'm sure there are a ton of non reimbursable costs (emergency personnel",Non-Rescue
"""RT @abc13houston: .@SpeakerRyan and Sen. @tedcruz did more than answer questions for #Harvey survivors",Rescue
"""RT @dhsscitech: Check out an S&amp;T predictive model that helped officials make decisions about #Harvey &amp; #Irma evacuation",Rescue
"""How you can get involved &amp; support those affected by Hurricanes #Irma",Non-Rescue
"""RT @spinning_will: If 3 major hurricanes proves #climatechange",Non-Rescue
"""RT @RedCrossHouston: Along with our partners",Non-Rescue
"""Nice! Georgia help on the way to Houston #Harvey survivors: wheelchairs",Rescue
"""RT @UNCOBGYN: Women are amazing &amp; times of crisis amplify that. This mom donated 1",Rescue
"""Remember This?Hurricane #Harvey Boosts Gasoline Prices 20%",Rescue
"""RT @MyloCarbia: When #Harvey slams your Bro",Non-Rescue
"""RT @TxDOTBryan: @TxDOTBryan working to remove #Harvey debris in Atascocita",Non-Rescue
"""IRSnews: When helping hurricane #Harvey victims",Rescue
"""RT @CBSPhilly: 10 dogs rescued from areas affected by #Harvey",Rescue
"""RT @TedABC13: #Harvey flooding led to a massive fire at a chemical plant in Crosby. What did it leave behind? Our testing results",Non-Rescue
"""Huracanes fuertes de 2017 hasta el momento",Non-Rescue
"""Hog hunters volunteer to help #Harvey",Rescue
"""RT @FCSBulletins: There's a 30 day waiting period before flood ins takes effect. With #Maria #Irma and #Harvey all being Cat. 4 or 5",Non-Rescue
"""To help our guests begin to rebuild &amp; recover from #Harvey",Rescue
"""The stuff that dreams were made of.  A landfill of flooded furnishings from hundreds of Bellaire",Non-Rescue
"""The Czech Republic donated  $237",Rescue
"""RT @usconsfrankfurt: All denominations turn out to help people in times of disaster",Rescue
"""RT @UniContigo: Aunque la normalidad ha ido llegando a Texas luego del paso del huracn #Harvey",Non-Rescue
"""RT @sendrelief: #Harvey and #Irma were devastating",Rescue
"""RT @Edison_Electric: To help after #Harvey &amp; #Irma",Rescue
"""RT @OnceABC: To support people impacted by #Harvey",Rescue
"""RT @RobRe62: RT @FBI:To help after #Harvey &amp;amp; #Irma",Rescue
"""RT please to help find Bandit the Pig missing since #Harvey https://t.co/lT2vLgV9ej""",Rescue
"""Kardashian/Jenner clan #donate $500",Rescue
"""RT @TexasTribune: Texas is unlikely to delay STAAR test dates for #Harvey-displaced students",Rescue
"""RT @DaniMortgage: Hurricanes and higher rates tank mortgage applications",Non-Rescue
"""RT @GutzyLo: Just donated to @Dallas_DogRRR",Rescue
"""Rabbi Amy Weiss lost her home in #Harvey. Shes helping other flood victims with her non-profit",Rescue
"""RT @Diobpt: Evan of @CONNCatholics is originally from Houston. In his blog",Non-Rescue
"""RT @PatrickSvitek: Does #Harvey raise concerns about size of gov't? No",Non-Rescue
"""RT @PeerlessOvens: If your #Peerless Oven suffered damage in #Harvey",Rescue
"""RT @KelvinBeachumJr: Thank you",Rescue
"""In addition to the power in 2017",Non-Rescue
"""RT @SecretarySonny: Post-#Harvey",Non-Rescue
"""Preliminary Results of Post-Flooding Impacts on Rural Elderly in Hainan Province",Non-Rescue
"""RT @wcnc: .@BassProShops donate more than 80 boats",Rescue
"""RT @MichaelaSCurtis: Thank you to our volunteers",Non-Rescue
"""RT @AP_NFL: Tom Brady donates $100",Rescue
""".@JohnCornyn: """"At least two more relief packages"""" are coming for #Harvey",Rescue
"""RT @GENERALI: Overview of the studies around the possible connection between cyclones and #climatechange",Non-Rescue
"""RT @SBAgov: To help after #Harvey &amp; #Irma",Rescue
"""@jennr473 @kathy_krack Fingers crossed and prayers sent up! Texans don't need a quake on top of #Harvey!""",Non-Rescue
"""More on #NEO volunteers who are helping with #Harvey and #Irma relief efforts",Rescue
"""@RedCross @khou HOW tge HELL us 400.00 going to help these #Harvey Flood Victims. SHAME on Red Cross. #dontdonatetoredcross #givelocal""",Rescue
"""After a series of extreme disasters fueled by #climate",Non-Rescue
"""""""Satan said I'm gonna give them my worst. God said I'm gonna bring out their best."""" Beth Moore #harvey #irma #LProof17""",Rescue
"""No line at the #Harvey benefit!  Come get some of this fatty and support hurricane relief!  100% https://t.co/vmmqbuI7ws""",Rescue
"""@realDonaldTrump U know we don't believe it",Rescue
"""This is a great #Harvey fund raiser inspired by @JeffLindner1 so please consider supporting! #HoustonStrong https://t.co/MAtKuuPPd6""",Rescue
"""@ArtAcevedo Whatever you think you know about #Harvey",Non-Rescue
"""Want to help #Harvey and #Irma victims? Great! Choose a trusted organization",Rescue
"""RT @ElizKolbert: Looking for inspiration post #Harvey? Listen to @billmckibben",Non-Rescue
"""Painting with a Twist in Evansville",Rescue
"""How Andrew helped #insurers avoid devastating losses from #Harvey",Rescue
"""RT @texmed: Our @TMA_Pres will be rocking and raising money tonight for #Harvey relief. Good work",Rescue
"""RT @jamiedhancock: UPDATED w/ photos of @GeorgeStrait",Non-Rescue
"""A local tattoo artist is helping #Harvey victims",Rescue
"""RT @twcMariaLaRosa: 4wks ago today: #Harvey became a TD again. Since 8/23: 4 hurricane landfalls",Non-Rescue
"""RT @abstractwallart: Created serene beach landscape art with palm trees",Non-Rescue
"""RT @USDOL: To help after #Harvey",Rescue
"""Initial #unemployment claims down 23k to 259k. 4-week average up 6k to 268",Non-Rescue
"""RT @Allen_Reid: The Wildlife Center of Texas has taken in 60 wild baby animals",Non-Rescue
"""RT @Specodi: @ProPublica Dear America",Rescue
"""RT @XylemInc: As Hurricane #Harvey and #Irma recovery continues",Rescue
"""RT @MrAMontgomery: To support people impacted by #Harvey",Rescue
"""RT @LindaWSB: Nice! Georgia help on the way to Houston #Harvey survivors: wheelchairs",Rescue
"""RT @CarrieGHall: Were a family company",Non-Rescue
"""RT @usairforce: """"Great leadership",Non-Rescue
"""RT @TassajaraRd: @realDonaldTrump U know we don't believe it",Rescue
"""RT @kwri: To support our #KWFamily affected by #Harvey and #Irma",Non-Rescue
"""#polystyrene demand typically picks up in Sept. But given #Harvey and other events",Non-Rescue
"""Everyone who calls in to donate today",Rescue
"""RT @EnvironmentTex: Have any photos of #Harvey damage? Flooding",Rescue
"""A Texas man and his family were rescued during Hurricane #Harvey",Rescue
"""If you're in South Texas and want to file a claim with @fema",Non-Rescue
"""RT @DirectRelief: How to help those hurt by #Harvey",Rescue
"""Wearing Hairnets and Big Grins",Non-Rescue
"""RT @AndrewLearned: ICYMI during Irma: Dennis Ross",Rescue
"""I know how helpless I felt during #Harvey",Rescue
"""#Harvey evacuation leads residents' families to take legal action against #SNF",Non-Rescue
"""In the Wake of #Harvey &amp; #Irma",Non-Rescue
"""RT @TheBarometerPod: #HurricaneSeason2017 has been devastating so far",Non-Rescue
"""RT @newswatchoz: Trump just announced a $1 million donation to #Harvey victims",Rescue
"""ICYMI: #AbileneEagles Band and Midland Lee Rebels band played """"Amazing Grace"""" together",Non-Rescue
"""RT @AshleighNBC5: City leaders discuss #MegaShelter closing in Dallas",Non-Rescue
"""In response to #Hurricanes #Harvey &amp; #Irma",Rescue
"""#BriscoeEagles:tomorrow is the """"Crazy Hair",Rescue
"""RT @HoustonPubMedia: @PasadenaTX Mayor Wagner",Non-Rescue
"""RT @kfray920: Thanks to @mikesmithlive",Rescue
"""RT @dwjameson: The week before #Harvey",Non-Rescue
"""Our friends @United are supporting #Harvey",Rescue
"""@JohnJHarwood And unfair to help #harvey #irma #maria hurricane victims too if you live in Boise",Rescue
"""RT @TAMUGeosciences: Its Time for a 21st Century Hurricane Scale - @wildweatherdan",Non-Rescue
"""To help w/ relief efforts &amp; delivering items for #Harvey victims",Rescue
"""While #Harvey exposed health IT hurdles",Non-Rescue
"""RT @NEHBC: We have distributed $155",Rescue
"""If you've been affected by Harvey or Irma",Non-Rescue
"""Have any photos of #Harvey damage? Flooding",Rescue
"""RT @SylvesterTurner: Visit https://t.co/6wcOHIAq4h if you need help",Rescue
"""RT @RedCross: Finding the best possible help",Rescue
""".@Walmart gave $25m to Texas after #Harvey. 3.5m U.S. citizens in Puerto Rico deserve at least as much from them after devastation of #Maria""",Non-Rescue
"""@MSNBC @CNN  As I said to REFUGEE HATERS in the GOP",Rescue
"""RT @WBAL11TVHill: This morning at 11:30am",Rescue
"""RT @ERLC: After #Harvey and #Irma",Rescue
"""RT @ASPCA: """"Rescue organizations work best when they work together",Non-Rescue
"""RT @DeptVetAffairs: VA has Mobile Vet Centers deployed in Houston",Non-Rescue
"""RT @WxBrianD: Three Cat. 4 hurricanes have made a U.S. landfall in 2017",Non-Rescue
"""While extreme weather events become more frequent",Non-Rescue
"""I wished that @ATT @ATTCares would do ANYTHING to help us! #Harvey has destroyed our neighborhood &amp; no one can give us answers!""",Rescue
"""#Flooding #Harvey Free #Bankruptcy Consultation W/Lawyer in Magnolia",Non-Rescue
"""A Livonia church is selling homecoming dresses for $20 to help raise money for #Harvey",Rescue
"""RT @ember003: People still suffering houston",Non-Rescue
"""RT @PaulRinaldi: NATCA: Hats off to Chicago Center (ZAU)",Rescue
"""Trump went to Texas immed after #Harvey",Non-Rescue
"""RT @StopFraudCo: 3 Strategies Criminals are Using to Run Scams in The Wake of #Harvey",Non-Rescue
"""RT @JillDLawrence: Ex-Clinton aide Jake Sullivan: We need National Service Reserve for disasters like #Maria",Rescue
"""Need power to watch tv- #harvey &amp; #Irma2017 knocked out power Maybe stop watching ratings &amp; donate that $1 mill you https://t.co/Cgr3SHqc7n""",Rescue
"""RT @slingerr: Some well users in Lumberton urged to boil water",Non-Rescue
"""RT @lihsa: 66 job postings on @statebaroftexas Career Center",Non-Rescue
"""#Harvey showed us that there's a hero inside each and every heart in Katy Read the new issue: https://t.co/bHdifjatYS""",Non-Rescue
"""The men and women of TMAR assisted local",Rescue
"""RT @MrDrewScott: Thinking about everyone who has been impacted by #Irma &amp; #Harvey. @Habitat_org is mobilizing",Rescue
"""RT @SustBizPartners: In the face of #Harvey",Non-Rescue
"""Good morning. Silent auction to benefit #Harvey and #Irma relief efforts. Auction runs until September 30. www.seanstraney",Rescue
"""RT @HeritageSS: Tmrw at the #HSSFarmersMarket: Free yoga class",Rescue
"""RT @PrestigeEcon: Check out the #FinancialFuturist newsletter on #Harvey",Non-Rescue
"""RT @SeniorCorps: As families hit by #Harvey &amp; #Irma continue to recover",Non-Rescue
"""If you live in #HD126 &amp; are in need of food assistance because of #Harvey",Rescue
"""Happy birthday Harvey!!  hope you have a great day",Non-Rescue
"""Without the federal relief they depend on",Rescue
"""RT @funder: Retweet if you agree @realDonaldTrump needs to give the million he pledged to #Harvey relief today. No reason to wait",Rescue
"""RT @chandlerUSA: Just like #Harvey and #Irma victims",Non-Rescue
"""Went to @RoomsToGo #1STIME. Delivery prices are nuts would have to pay an outrageous price of $1",Non-Rescue
"""RT @ABC: Mom donates more than 1",Rescue
"""The Astros are bringing hope - and maybe a World Series title - to post-#Harvey Houston @LindseyFOX26 #HoustonStrong https://t.co/rztSSNcDZG""",Non-Rescue
"""Thank you Pastor Kenneth Traylor &amp; Greater Center Star Baptist Church",Non-Rescue
"""So far I've only talked about towns not in Houston. There's still Houston",Non-Rescue
"""RT @KEEN: We're partnering with @AllHands to help victims of Hurricane #Harvey. KEEN will match up to $25",Rescue
"""RT @BizBuzzAmerica: Calling on our SMB #Influencers to join me helping #SmallBiz who have been disrupted by #Irma &amp; #Harvey",Rescue
"""RT @SisterCitiesInt: See how #Leipzig",Rescue
""".@voxdotcom examines lingering health threats after #Harvey",Non-Rescue
"""The  Houston Chronicle has compiled a #Harvey resource list with updated FEMA numbers",Non-Rescue
"""If youre feeling totally overwhelmed and stressed",Rescue
"""CDL-A Midwest Regional Independent Contractor Truck Driver - #Harvey ",Non-Rescue
"""RT @bjheinley: My #Harvey sculpture is still developing",Non-Rescue
"""RT @SF_ChrisPilcic: #Update: Nearly a month after #Harvey auto claims have surpassed 36",Non-Rescue
"""RT @ALALibrary: An additional 10% in matching funds to help school libraries recover from #Harvey. Thanks",Rescue
"""Trump just announced a $1 million donation to #Harvey victims",Rescue
"""RT @AdmiralMichel: Recovery fm #Harvey is ongoing &amp; @FEMA",Non-Rescue
"""RT @BellaireHigh: Students if your laptop or textbooks were damaged/lost in #Harvey",Rescue
"""RT @RedCrossPhilly: While #Maria moves thru Puerto Rico",Non-Rescue
"""RT @13PhotogChris: Celia Moore",Non-Rescue
"""RT @AliVelshi: $1M for #Harvey",Rescue
"""Hunting license refunds and preference point restorations for hunts cancelled due to #Harvey",Non-Rescue
"""How do disasters impact your taxes? Recent victims of #Harvey and #Irma",Non-Rescue
"""RT @JudgeCarter: #Harvey took a lot away from us",Non-Rescue
"""Help for #harvey survivors! #hoUStonStrong https://t.co/qW6LRM5lq0""",Non-Rescue
"""#ADSB technology helps #FAA #AirTrafficControllers guide aircraft during #Harvey relief efforts. https://t.co/XlJNzuKNVh""",Rescue
"""RT @RedCrossCC: Become a #redcross volunteer and help people in their time of need",Rescue
"""RT @BalfourBeattyUS: Proud of @searchdogfdn teams who are deployed to help provide relief #MexicoQuake",Rescue
"""NATCA: Hats off to Chicago Center (ZAU)",Rescue
"""#IRS gives #tax relief to victims of Hurricane #Irma; Like #Harvey",Rescue
"""To help after #Harvey &amp;amp; #Irma",Rescue
